dtime,time,open,high,low,close,vwap,volume,count
2018-04-03 21:25:00,1522790700,336.79,336.79,336.7,336.7,336.7,12.59620934,2
2018-04-03 21:26:00,1522790760,337.0,337.0,336.08,336.9,336.73,17.68233082,10
2018-04-03 21:27:00,1522790820,336.9,336.9,336.61,336.61,336.61,2.0,2
